id,"method",id_parent,is_folder
1,"Морские методы",,True
2,"Батиметрия",1,True
3,"Батиметрия (измерение глубины ручным или механическим способом)",2,
4,"Эхолотирование",2,
5,"Батиметрия (Другой метод)",2,
6,"Геохимия",1,True
7,"Газогидрохимический (гидрогазохимический) метод",6,
8,"Геоэлектрохимический метод",6,
9,"Гидрогазогеохимический метод",6,
10,"Гидрогеохимический метод",6,
11,"Гидролитогеохимический метод",6,
12,"Драгирование",6,
13,"Литогеохимический (литохимический) метод",6,
14,"Радиогазогидрохимический метод",6,
15,"Геохимия (Другой метод)",6,
16,"Гидро(сейсмо)акустика",1,True
17,"Гидролокация бокового обзора",16,
18,"Придонная сонарная съёмка с профилографом",16,
19,"Приповерхностная сонарная съемка",16,
20,"Сейсмоакустическое зондирование",16,
21,"Сейсмоакустическое профилирование",16,
22,"Гидро(сейсмо)акустика (Другой метод)",16,
23,"Гравиразведка",1,True
24,"Вариометрическая съемка",23,
25,"Гравиметрическая съемка",23,
26,"Градиентометрическая съёмка",23,
27,"Гравиразведка (Другой метод)",23,
28,"Магниторазведка",1,True
29,"Магнитная съемка",28,
30,"Регистрация вариаций магнитного поля",28,
31,"Магниторазведка (Другой метод)",28,
32,"Радиометрия и ядерно-геофизические методы",1,True
33,"Гамма-съемка",32,
34,"Спектральная гамма-съемка (гаммаспектрометрическая съемка)",32,
35,"Радиометрия и ядерно-геофизические методы (Другой метод)",32,
36,"Сейсморазведка",1,True
37,"Глубинное сейсмическое зондирование МОВ (ГСЗ-МОВ)",36,
38,"Глубинное сейсмическое зондирование МПВ (ГСЗ-МПВ)",36,
39,"Глубинное сейсмическое зондирование ОГТ (ГСЗ-ОГТ)",36,
40,"Корреляционный метод преломленных волн (КМПВ)",36,
41,"Непрерывное сейсмическое профилирование (НСП)",36,
42,"Метод общей глубинной точки - 2D (МОГТ-2D)",36,
43,"Метод общей глубинной точки - 3D (МОГТ-3D)",36,
44,"Метод отраженных волн (МОВ)",36,
45,"Метод преломленных волн (МПВ)",36,
46,"Многоволновая сейсморазведка (МВС)",36,
47,"Сейсмическое зондирование МОВ (СЗ-МОВ)",36,
48,"Сейсмическое зондирование МПВ (СЗ-МПВ)",36,
49,"Сейсмическое зондирование ОГТ (СЗ-ОГТ)",36,
50,"Сейсморазведка 4D",36,
51,"Широкоугольное глубинное сейсмическое профилирование (ШГСП)",36,
52,"Сейсморазведка (Другой метод)",36,
53,"Термометрия",1,
54,"Фототелевизионная съемка",1,
55,"Электроразведка",1,True
56,"Вертикальное электрическое зондирование (ВЭЗ)",55,
57,"Георадарный метод",55,
58,"Дипольное индуктивное профилирование (ДИП)",55,
59,"Дифференциально-нормированный метод (ДНМЭ)",55,
60,"Зондирование становлением электромагнитного поля",55,
61,"Магнитотеллурическое зондирование (МТЗ)",55,
62,"Метод вызванной поляризации (ВП)",55,
63,"Метод длинного кабеля (ДК)",55,
64,"Метод естественного электрического поля (ЕП)",55,
65,"Метод становления поля с фокусировкой электрического тока",55,
66,"Резистивиметрия",55,
67,"Электропрофилирование с непрерывными измерениями",55,
68,"Электрохимическое профилирование",55,
69,"Электроразведка (Другой метод)",55,
70,"Дистанционное зондирование Земли (аэрокосмические методы)",,True
71,"Аэрогеохимия",70,
72,"Космофотосъемка",70,
73,"Аэрофотосъемка",70,
74,"Телевизионная съемка",70,
75,"Лидарная (лазерная) съемка",70,
76,"Инфракрасная съёмка",70,
77,"Радиолокационная съемка",70,
78,"Радиотепловая съёмка",70,
79,"Дистанционное зондирование Земли (аэрокосмические методы) (Другой метод)",70,
80,"Аэрогеофизические методы",,True
81,"Аэрогравиразведка",80,
82,"Аэромагниторазведка",80,
83,"Аэрогаммаспектрометрия",80,
84,"Аэроэлектроразведка",80,True
85,"Дипольное индуктивное профилирование (ДИП)",84,
86,"Дипольное электромагнитное профилирование (ДЭМП)",84,
87,"Метод естественного электрического поля (ЕП)",84,
88,"Метод длинного кабеля (ДК)",84,
89,"Метод вращающегося магнитного поля (ВМП)",84,
90,"Метод переходных процессов (МПП)",84,
91,"Метод радиокомпарирования и пеленгации (Радиокип)",84,
92,"Метод сверхдлинноволнового радиоэлектромагнитного профилирования (СДВР)",84,
93,"Аэроэлектроразведка (Другой метод)",84,
94,"Бурение скважин (стволов) и проходка горных выработок",,True
95,"Бурение скважин (стволов) с отбором керна",94,True
96,"Бурение скважин (стволов)",95,
97,"Геологическая документация керна",95,
98,"Радиометрическая документация керна",95,
99,"Проходка и опробование открытых и подземных горных выработок",94,True
100,"Исследования в скважинах и горных выработках",,True
101,"Геолого-технологические исследования в скважинах",100,True
102,"Виброакустический каротаж в процессе бурения",101,
103,"Газовый каротаж",101,
104,"Детально-механический каротаж",101,
105,"Желобная плотнометрия",101,
106,"Желобная термометрия",101,
107,"Каротаж по дифференциальному давлению",101,
108,"Каротаж по приращению объемного газосодержания промывочной жидкости",101,
109,"Керно-шламовый каротаж",101,
110,"Механический каротаж (МК)",101,
111,"Резистивиметрический метод выявления коллекторов",101,
112,"Фильтрационный каротаж (ФК)",101,
113,"Геолого-технологические исследования в скважинах (Другой метод)",101,
114,"Гидрогеология и инженерная геология",100,True
115,"Индикаторные методы в скважинах",114,
116,"Кустовые откачки",114,
