1,АФГК,1,"Аэрофотогеологическое картирование"
2,БС,1,"Бурение опорных, параметрических, структурных глубоких и сверхглубоких скважин"
3,ГГК,1,"Глубинное геологическое картирование"
4,ГГС,1,"Геологическая съемка, групповая"
5,ГДП,1,"Геологическое доизучение ранее заснятых площадей"
6,ГИП,1,"Геологическое изучение площадей в районах сверх глубоких скважин"
7,ГМК,1,"Геолого-минерагеническое картирование"
8,ГС,1,"Геологическая съемка, полистная"
9,ГС-в,1,"Геологическая съемка (внутренние водные пространства)"
10,ГС-г,1,"Геологическая съемка (суша)"
11,ГСШ,1,"Геологическая съемка шельфа"
12,ПО,1,"Детальные поиски"
13,ПО-А,1,"Детальные поиски - сырье алмазное"
14,ПО-Б,1,"Детальные поиски - благородные металлы"
15,ПО-гС,1,"Детальные поиски - горючие сланцы"
16,ПО-НМ,1,"Детальные поиски - неметаллические"
17,ПО-Р/А,1,"Детальные поиски - радиоактивное сырье"
18,ПО-РЗ,1,"Детальные поиски - редкоземельные металлы"
19,ПО-РЭ,1,"Детальные поиски - рассеянные элементы"
20,ПО-Тф,1,"Детальные поиски - торф"
21,ПО-У,1,"Детальные поиски - уголь"
22,ПО-Ц,1,"Детальные поиски - цветные металлы"
23,ПО-Ч,1,"Детальные поиски - черные металлы"
24,ИЗД1-г,1,"Изданные  геологические карты (первое поколение)"
25,ИЗД2-г,1,"Изданные  геологические карты (второе поколение)"
26,ИЗД3-г,1,"Изданные  геологические карты (третье поколение)"
27,ИЗД-г,1,"Изданные геологические карты"
28,КСК,1,"Космоструктурное картирование"
29,КФГК,1,"Космофотогеологическое картирование"
30,НПД,1,"Наземная проверка результатов дешифрирования"
31,ОГК,1,"Объемное геологическое картирование"
32,ПР,1,"Общие поиски"
33,ПР-А,1,"Общие поиски - сырье алмазное"
34,ПР-Б,1,"Общие поиски - благородные металлы"
35,ПР-гС,1,"Общие поиски - горючие сланцы"
36,ПР-НМ,1,"Общие поиски - неметаллические"
37,ПР-Р/А,1,"Общие поиски - радиоактивное сырье"
38,ПР-РЗ,1,"Общие поиски - редкоземельные металлы"
39,ПР-РЭ,1,"Общие поиски - рассеянные элементы"
40,ПР-Тф,1,"Общие поиски - торф"
41,ПР-У,1,"Общие поиски - уголь"
42,ПР-Ц,1,"Общие поиски - цветные металлы"
43,ПР-Ч,1,"Общие поиски - черные металлы"
44,ПКИ-г-в,1,"Составление и подготовка к изданию комплекта Госгеолкарты (вода)"
45,ПКИ-г-с,1,"Составление и подготовка к изданию комплекта Госгеолкарты (суша)"
46,ПНГ,1,"Поисковый этап работ по обнаружению нефти и газа"
47,ПО,1,"Поисково-оценочные работы"
48,ПО-А,1,"Поисково-оценочные - сырье алмазное"
49,ПО-Б,1,"Поисково-оценочные - благородные металлы"
50,ПО-гС,1,"Поисково-оценочные - горючие сланцы"
51,ПО-НМ,1,"Поисково-оценочные - неметаллические"
52,ПО-Р/А,1,"Поисково-оценочные - радиоактивное сырье"
53,ПО-РЗ,1,"Поисково-оценочные - редкоземельные металлы"
54,ПО-РЭ,1,"Поисково-оценочные - рассеянные элементы"
55,ПО-Тф,1,"Поисково-оценочные - торф"
56,ПО-У,1,"Поисково-оценочные - уголь"
57,ПО-Ц,1,"Поисково-оценочные - цветные металлы"
58,ПО-Ч,1,"Поисково-оценочные - черные металлы"
59,ПР,1,"Поисковые работы"
60,ПР-А,1,"Поисковые работы-сырье алмазное"
61,ПР-Б,1,"Поисковые работы-благородные металлы"
62,ПР-гС,1,"Поисковые работы-горючие сланцы"
63,ПР-НМ,1,"Поисковые работы-неметаллические"
64,ПР-Р/А,1,"Поисковые работы-радиоактивное сырье"
65,ПР-РЗ,1,"Поисковые работы-редкоземельные металлы"
66,ПР-РЭ,1,"Поисковые работы-рассеяные элементы"
67,ПР-Тф,1,"Поисковые работы-торф"
68,ПР-У,1,"Поисковые работы-уголь"
69,ПР-Ц,1,"Поисковые работы-цветные металлы"
70,ПР-Ч,1,"Поисковые работы-черные металлы"
71,РГИ,1,"Научно-исследовательские и опытно-методические работы в области региональных геологических исследований"
72,РГСР,1,"Региональные геолого-съемочные работы"
73,РМ,1,"Разведка месторождений"
74,РМ-А,1,"Разведка месторождений - сырье алмазное"
75,РМ-Б,1,"Разведка месторождений - благородные металлы"
76,РМ-гС,1,"Разведка месторождений - горючие сланцы"
77,РМ-НМ,1,"Разведка месторождений - неметаллические"
78,РМ-Р/А,1,"Разведка месторождений - радиоактивное сырье"
79,РМ-РЗ,1,"Разведка месторождений - редкоземельные металлы"
80,РМ-РЭ,1,"Разведка месторождений - рассеянные элементы"
81,РМ-Тф,1,"Разведка месторождений - торф"
82,РМ-У,1,"Разведка месторождений - уголь"
83,РМ-Ц,1,"Разведка месторождений - цветные металлы"
84,РМ-Ч,1,"Разведка месторождений - черные металлы"
85,РНГ,1,"Региональный этап изучения недр и оценки перспектив нефтегазоносности"
86,РПЭ,1,"Разведка и пробная эксплуатация (нефтяной залежи)"
87,СВП,1,"Стадия выявления и подготовки объектов к поисковому бурению"
88,СОЗ,1,"Стадия оценки нефтегазоносности"
89,СПМ,1,"Стадия поиска месторождений(залежи)"
90,СПН,1,"Стадия прогноза зон нефтегазоносности"
91,ТЕМ,1,"Тематические, научно-исследовательские и опытно-методические работы"
92,ТЕМ-А,1,"Тематические, научно-исследовательские и опытно-методические работы - сырье алмазное"
93,ТЕМ-Б,1,"Тематические, научно-исследовательские и опытно-методические работы - благородные металлы"
94,ТЕМ-гС,1,"Тематические, научно-исследовательские и опытно-методические работы - горючие сланцы"
