id_mineral,parent_id,level,"mineral"
1020101,10201,4,"Агальматолит"
1020102,10201,4,"Агат"
102010201,1020102,5,"Агат-переливт"
204010406,2040104,5,"Азот"
1020103,10201,4,"Аквамарин"
1020401,10204,4,"Алеврит"
1020402,10204,4,"Алевролит"
1020104,10201,4,"Александрит"
1020105,10201,4,"Алмаз"
1020301,10203,4,"Алмазы импактные"
1020403,10204,4,"Альбитофир"
102040301,1020403,5,"Альбитофир кварцевый"
1010201,10102,4,"Алюминий (бокситы)"
1020106,10201,4,"Амазонит"
1020107,10201,4,"Аметист"
1020404,10204,4,"Амфиболит"
102034201,1020342,5,"Анальцим"
1020405,10204,4,"Ангидрит"
102020901,1020209,5,"Ангидрит"
1020302,10203,4,"Андалузит"
1020406,10204,4,"Андезит"
102040601,1020406,5,"Андезитобазальт"
102040602,1020406,5,"Андезитодацит"
1020108,10201,4,"Анортозит"
102033501,1020335,5,"Анортоклаз"
1020201,10202,4,"Апатитовые руды"
1020407,10204,4,"Аргиллит"
102020902,1020209,5,"Архангельская коричневая"
1020303,10203,4,"Асбест"
102030301,1020303,5,"Асбест амфиболитовый"
102030302,1020303,5,"Асбест антофиллитовый"
102030303,1020303,5,"Асбест голубой"
102030306,1020303,5,"Асбест режикитовый"
102030307,1020303,5,"Асбест родуситовый"
102030304,1020303,5,"Асбест хризотиловый"
102030305,1020303,5,"Асбест хризотиловый ломкий"
102021702,1020217,5,"Астраханит"
1020408,10204,4,"Асфальтиты природные"
1020409,10204,4,"Базальт"
102040901,1020409,5,"Базальтоид"
1020109,10201,4,"Беломорит"
1020110,10201,4,"Берилл"
1010301,10103,4,"Бериллий"
1020410,10204,4,"Битумы природные"
102021703,1020217,5,"Бишофит"
1020111,10201,4,"Благородный опал"
1020304,10203,4,"Боксит абразивный"
1020305,10203,4,"Бораты природные"
1020202,10202,4,"Борные руды"
1020306,10203,4,"Боросиликаты"
1020411,10204,4,"Брекчия"
102046301,1020463,5,"Брекчия мраморная"
1020203,10202,4,"Бром"
1020307,10203,4,"Брусит"
1020414,10204,4,"Валунно-галечно-песчаный материал"
1020413,10204,4,"Валунно-галечный материал"
1020416,10204,4,"Валунно-гравийно-песчаный материал"
1020415,10204,4,"Валунно-гравийный материал"
1020412,10204,4,"Валуны"
1010202,10102,4,"Ванадий"
102020903,1020209,5,"Вандик"
1020308,10203,4,"Вермикулит"
102020904,1020209,5,"Вивианит"
1010302,10103,4,"Висмут"
1020417,10204,4,"Витролипарит"
3030311,30303,4,"Воды бальнеологические"
3030501,30305,4,"Воды бромные"
3030403,30304,4,"Воды высокопотенциальные"
3030201,30302,4,"Воды для нужд сельского хозяйства"
3030202,30302,4,"Воды для технологического водоснаб. промышл. объек"
3030502,30305,4,"Воды йодные"
3030503,30305,4,"Воды йодобромные"
3030302,30303,4,"Воды лечебно-столовые"
3030306,30303,4,"Воды лечебные"
3030401,30304,4,"Воды низкопотенциальные"
3030101,30301,4,"Воды питьевые 1-го класса"
3030102,30301,4,"Воды питьевые 2-го класса"
3030103,30301,4,"Воды питьевые 3-го класса"
3030402,30304,4,"Воды среднепотенциальные"
3030301,30303,4,"Воды столовые"
102020905,1020209,5,"Волконскоит"
1020309,10203,4,"Волластонит"
1010203,10102,4,"Вольфрам"
1020418,10204,4,"Вулканиты"
1010204,10102,4,"Высокоглиноземное сырье"
303030605,3030306,5,"Высокоминерализованная (св. 10 до 15 г/дм3)"
1020419,10204,4,"Габбро"
102041908,1020419,5,"Габбро пикритовое"
102041901,1020419,5,"Габбро-амфиболит"
102041902,1020419,5,"Габбро-анортозит"
102041903,1020419,5,"Габбро-диабаз"
102041904,1020419,5,"Габбро-диорит"
102041905,1020419,5,"Габбро-долерит"
102041906,1020419,5,"Габброид"
102041907,1020419,5,"Габбро-лабрадорит"
102041909,1020419,5,"Габбро-норит"
102041910,1020419,5,"Габбро-пироксенит"
102041911,1020419,5,"Габбро-сиенит"
1020112,10201,4,"Гагат"
