id_region,region,id_parent,level
46000000000,"Московская область",2,2
54000000000,"Орловская область",2,2
61000000000,"Рязанская область",2,2
66000000000,"Смоленская область",2,2
68000000000,"Тамбовская область",2,2
28000000000,"Тверская область",2,2
68410000000,"г. Котовск",68000000000,3
70000000000,"Тульская область",2,2
78000000000,"Ярославская область",2,2
17240000000,"Кольчугинский район",17000000000,3
70236000000,"Одоевский район",70000000000,3
11000000000,"Архангельская область",552,2
19000000000,"Вологодская область",552,2
40000000000,"г. Санкт-Петербург",552,2
27000000000,"Калининградская область",552,2
41000000000,"Ленинградская область",552,2
20000000000,"Воронежская область",2,2
47000000000,"Мурманская область",552,2
11100000000,"Ненецкий автономный округ",552,2
49000000000,"Новгородская область",552,2
58000000000,"Псковская область",552,2
17242000000,"Меленковский район",17000000000,3
17244000000,"Муромский район",17000000000,3
17246000000,"Петушинский район",17000000000,3
17248000000,"Селивановский район",17000000000,3
17250000000,"Собинский район",17000000000,3
17252000000,"Судогодский район",17000000000,3
17254000000,"Суздальский район",17000000000,3
17256000000,"Юрьев-Польский район",17000000000,3
552,"Северо-Западный ФО",1,1
767,"Южный ФО",1,1
2621,"Киргизия",2546,1
984,"Северо-Кавказский ФО",1,1
2754,"Море Бали",2745,2
989,"Джейрахский район",26000000000,3
990,"Малгобекский район",26000000000,3
991,"Назрановский район",26000000000,3
992,"Сунженский район",26000000000,3
1138,"Приволжский ФО",1,1
1120,"г. Аргун",96000000000,3
1121,"г. Грозный",96000000000,3
1122,"г. Гудермес",96000000000,3
1123,"Ачхой-Мартановский район",96000000000,3
1124,"Веденский район",96000000000,3
1125,"Грозненский район",96000000000,3
1126,"Гудермесский район",96000000000,3
1127,"Итум-Калинский район",96000000000,3
1128,"Курчалоевский район",96000000000,3
1129,"Надтеречный район",96000000000,3
1130,"Наурский район",96000000000,3
1131,"Ножай-Юртовский район",96000000000,3
1132,"Сунженский район",96000000000,3
1133,"Урус-Мартановский район",96000000000,3
1134,"Шалинский район",96000000000,3
1135,"Шаройский район",96000000000,3
1136,"Шатойский район",96000000000,3
1137,"Шелковской район",96000000000,3
2622,"Кирибати",2546,1
2755,"Море Банда",2745,2
58401000000,"г. Псков",58000000000,3
2623,"Китай",2546,1
2756,"Море Коро",2745,2
58204000000,"Бежаницкий район",58000000000,3
